"","Sample","ARO","Pathogen","Reads","MAPQ","Drug","Mechanism","AMR_Family","Gene_Length","FPKM"
"4697","LKMG003-348.allele_mapping_data.txt","macA","Neisseria gonorrhoeae",5,16.4,"macrolide antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1179,17.1163431253331
"4698","LKMG003-348.allele_mapping_data.txt","lsaC","Streptococcus agalactiae",1,20.5,"lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic","antibiotic target protection","lsa-type ABC-F protein",1479,2.72889365040807
"4699","LKMG003-348.allele_mapping_data.txt","emrA","Escherichia coli",1,11,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1173,3.44077895051452
"4700","LKMG003-348.allele_mapping_data.txt","tet(M)","Erysipelothrix rhusiopathiae",8,19.88,"tetracycline antibiotic","antibiotic target protection","tetracycline-resistant ribosomal protection protein",1920,16.8168071206397
"4701","LKMG003-348.allele_mapping_data.txt","mtrD","Neisseria meningitidis",54,14.33,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3204,68.0230400385428
"4702","LKMG003-348.allele_mapping_data.txt","smeB","Stenotrophomonas maltophilia",1,11,"aminoglycoside antibiotic; cephalosporin; cephamycin; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3150,1.28128054252493
"4703","LKMG003-348.allele_mapping_data.txt","patA","Streptococcus pneumoniae",213,20.48,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1695,507.182997054338
"4704","LKMG003-348.allele_mapping_data.txt","patB","Streptococcus pneumoniae",209,20.67,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1767,477.380331166547
"4705","LKMG003-348.allele_mapping_data.txt","pmrA","Streptococcus pneumoniae",86,19.67,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1200,289.249082475003
"4706","LKMG003-348.allele_mapping_data.txt","MexK","Pseudomonas aeruginosa",2,11,"macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3078,2.62250403440776
"4707","LKMG003-348.allele_mapping_data.txt","RlmA(II)","Streptococcus pneumoniae",56,18.43,"macrolide antibiotic; lincosamide antibiotic","antibiotic target alteration","non-erm 23S ribosomal RNA methyltransferase (G748)",849,266.216593287866
"4708","LKMG003-348.allele_mapping_data.txt","hmrM","Haemophilus influenzae",6,18.42,"fluoroquinolone antibiotic; disinfecting agents and antiseptics","antibiotic efflux","multidrug and toxic compound extrusion (MATE) transporter",1395,17.3592847696926
"4709","LKMG003-348.allele_mapping_data.txt","farA","Neisseria meningitidis",1,21,"antibacterial free fatty acids","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1155,3.49440147961345
"4710","LKMG003-348.allele_mapping_data.txt","farB","Neisseria meningitidis",2,11,"antibacterial free fatty acids","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1527,5.28622620688086
"4711","LKMG003-348.allele_mapping_data.txt","tetB(60)","uncultured bacterium",3,16.67,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1740,6.95867880854058
"4712","LKMG003-348.allele_mapping_data.txt","tetA(46)","Streptococcus australis",9,16.44,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1725,21.0575671771489
"4713","LKMG003-348.allele_mapping_data.txt","tetB(46)","Streptococcus australis",9,17.39,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1737,20.9120917562359
"4714","LKMG003-348.allele_mapping_data.txt","tetA(60)","uncultured bacterium",2,16,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1740,4.63911920569372
"4715","LKMG003-348.allele_mapping_data.txt","MuxB","Pseudomonas aeruginosa",1,11,"macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3132,1.28864422380381
"4716","LKMG003-348.allele_mapping_data.txt","rpoB2","Nocardia farcinica",12,10.46,"rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)",3489,13.8814572964868
"4717","LKMG003-348.allele_mapping_data.txt","Bifidobacterium bifidum ileS conferring resistance to mupirocin","Bifidobacterium bifidum",3,11,"mupirocin-like antibiotic","antibiotic target alteration","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)",3324,3.6426297012216
"4718","LKMG003-348.allele_mapping_data.txt","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","Bifidobacterium adolescentis",5,10.89,"rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)",3561,5.66699481740176
"4719","LKMG003-349.allele_mapping_data.txt","srmB","Streptomyces ambofaciens",2,11,"macrolide antibiotic","antibiotic target protection","Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins",1653,4.88328337441444
"4720","LKMG003-349.allele_mapping_data.txt","adeF","Acinetobacter baumannii",1,11,"fluoroquinolone antibiotic; tetracycline antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3180,1.26919299023696
"4721","LKMG003-349.allele_mapping_data.txt","smeS","Stenotrophomonas maltophilia",1,11,"aminoglycoside antibiotic; cephalosporin; cephamycin; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1404,2.87466788387004
"4722","LKMG003-349.allele_mapping_data.txt","mtrE","Neisseria gonorrhoeae",4,11.75,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1404,11.4986715354802
"4723","LKMG003-349.allele_mapping_data.txt","macB","Neisseria gonorrhoeae",34,16.09,"macrolide antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1935,70.9173881676591
"4724","LKMG003-349.allele_mapping_data.txt","smeF","Stenotrophomonas maltophilia",1,11,"macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1401,2.88082348961709
"4725","LKMG003-349.allele_mapping_data.txt","OprJ","Pseudomonas aeruginosa",1,11,"macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1440,2.80280118677329
"4726","LKMG003-349.allele_mapping_data.txt","mdtB","Escherichia coli",2,11,"aminocoumarin antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3123,2.58471579183704
"4727","LKMG003-349.allele_mapping_data.txt","carA","Streptomyces thermotolerans",4,11,"macrolide antibiotic","antibiotic target protection","Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins",1656,9.74887369312449
"4728","LKMG003-349.allele_mapping_data.txt","novA","Streptomyces niveus",2,11,"aminocoumarin antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1848,4.36800184951681
"4729","LKMG003-349.allele_mapping_data.txt","mel","Streptococcus pyogenes",72,18.16,"macrolide antibiotic; streptogramin antibiotic","antibiotic target protection","msr-type ABC-F protein",1218,238.583273435677
"4730","LKMG003-349.allele_mapping_data.txt","mtrC","Neisseria meningitidis",6,12,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1239,19.5449574283464
"4731","LKMG003-349.allele_mapping_data.txt","smeR","Stenotrophomonas maltophilia",1,11,"aminoglycoside antibiotic; cephalosporin; cephamycin; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",690,5.84932421587469
"4732","LKMG003-349.allele_mapping_data.txt","mtrA","Neisseria gonorrhoeae",3,15.33,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",906,13.3643500296475
"4733","LKMG003-349.allele_mapping_data.txt","MexD","Pseudomonas aeruginosa",2,11,"macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3132,2.57728844760762
"4734","LKMG003-349.allele_mapping_data.txt","macA","Neisseria gonorrhoeae",15,16.23,"macrolide antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1179,51.3490293759992
"4735","LKMG003-349.allele_mapping_data.txt","lsaC","Streptococcus agalactiae",9,18.72,"lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic","antibiotic target protection","lsa-type ABC-F protein",1479,24.5600428536726
"4736","LKMG003-349.allele_mapping_data.txt","tet(M)","Erysipelothrix rhusiopathiae",1,22,"tetracycline antibiotic","antibiotic target protection","tetracycline-resistant ribosomal protection protein",1920,2.10210089007997
"4737","LKMG003-349.allele_mapping_data.txt","mtrD","Neisseria meningitidis",29,12.67,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3204,36.5308918725507
"4738","LKMG003-349.allele_mapping_data.txt","MexB","Pseudomonas aeruginosa",2,11,"macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3141,2.56990366695545
"4739","LKMG003-349.allele_mapping_data.txt","patA","Streptococcus pneumoniae",146,19.62,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1695,347.64656136119
"4740","LKMG003-349.allele_mapping_data.txt","patB","Streptococcus pneumoniae",146,20.04,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1767,333.480996891464
"4741","LKMG003-349.allele_mapping_data.txt","pmrA","Streptococcus pneumoniae",70,19.45,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1200,235.435299688956
"4742","LKMG003-349.allele_mapping_data.txt","RlmA(II)","Streptococcus pneumoniae",51,17.52,"macrolide antibiotic; lincosamide antibiotic","antibiotic target alteration","non-erm 23S ribosomal RNA methyltransferase (G748)",849,242.447254601449
"4743","LKMG003-349.allele_mapping_data.txt","efrB","Enterococcus faecium",1,11,"macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1086,3.7164214631248
"4744","LKMG003-349.allele_mapping_data.txt","hmrM","Haemophilus influenzae",3,18.67,"fluoroquinolone antibiotic; disinfecting agents and antiseptics","antibiotic efflux","multidrug and toxic compound extrusion (MATE) transporter",1395,8.67964238484632
"4745","LKMG003-349.allele_mapping_data.txt","farB","Neisseria meningitidis",6,14.5,"antibacterial free fatty acids","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1527,15.8586786206426
"4746","LKMG003-349.allele_mapping_data.txt","tetB(60)","uncultured bacterium",1,22,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1740,2.31955960284686
"4747","LKMG003-349.allele_mapping_data.txt","tetB(46)","Streptococcus australis",1,11,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1737,2.32356575069288
"4748","LKMG003-349.allele_mapping_data.txt","tetA(60)","uncultured bacterium",2,21.5,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1740,4.63911920569372
"4749","LKMG003-349.allele_mapping_data.txt","MexF","Pseudomonas aeruginosa",1,11,"fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3189,1.26561107210835
"4750","LKMG003-349.allele_mapping_data.txt","MuxB","Pseudomonas aeruginosa",5,11,"macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3132,6.44322111901906
"4751","LKMG003-349.allele_mapping_data.txt","LpsA","Haemophilus influenzae",1,20.5,"peptide antibiotic","reduced permeability to antibiotic","Intrinsic peptide antibiotic resistant Lps",771,5.23480377296179
"4752","LKMG003-349.allele_mapping_data.txt","CSP-1","Bacteria, Viruses,",1,11,"cephalosporin","antibiotic inactivation","CSP beta-lactamase",918,4.396550881213
"4753","LKMG003-349.allele_mapping_data.txt","mef(E)","Streptococcus pneumoniae",3,21.33,"macrolide antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1212,9.99018244790479
"4754","LKMG003-350.allele_mapping_data.txt","OprN","Pseudomonas aeruginosa",1,12,"fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1419,2.84428027410397
"4755","LKMG003-350.allele_mapping_data.txt","mtrE","Neisseria gonorrhoeae",7,12.5,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1404,20.1226751870903
"4756","LKMG003-350.allele_mapping_data.txt","macB","Neisseria gonorrhoeae",7,12.57,"macrolide antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1935,14.6006387404004
"4757","LKMG003-350.allele_mapping_data.txt","smeF","Stenotrophomonas maltophilia",1,11,"macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1401,2.88082348961709
"4758","LKMG003-350.allele_mapping_data.txt","smeE","Stenotrophomonas maltophilia",6,11.67,"macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3123,7.75414737551112
"4759","LKMG003-350.allele_mapping_data.txt","sul2","Vibrio cholerae",1,22,"sulfonamide antibiotic","antibiotic target replacement","sulfonamide resistant sul",816,4.94611974136463
"4760","LKMG003-350.allele_mapping_data.txt","APH(6)-Id","Pseudomonas aeruginosa",7,20.21,"aminoglycoside antibiotic","antibiotic inactivation","APH(6)",837,33.7541648299579
"4761","LKMG003-350.allele_mapping_data.txt","mel","Streptococcus pyogenes",41,20.07,"macrolide antibiotic; streptogramin antibiotic","antibiotic target protection","msr-type ABC-F protein",1218,135.859919595316
"4762","LKMG003-350.allele_mapping_data.txt","ceoB","Burkholderia cepacia",1,11,"fluoroquinolone antibiotic; aminoglycoside antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3084,1.30870094324045
"4763","LKMG003-350.allele_mapping_data.txt","tet(Q)","Bacteroides fragilis",3,22,"tetracycline antibiotic","antibiotic target protection","tetracycline-resistant ribosomal protection protein",1974,6.13378983123638
"4764","LKMG003-350.allele_mapping_data.txt","mtrC","Neisseria meningitidis",5,18.62,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1239,16.287464523622
"4765","LKMG003-350.allele_mapping_data.txt","dfrE","Enterococcus faecalis",1,11,"diaminopyrimidine antibiotic","antibiotic target replacement","trimethoprim resistant dihydrofolate reductase dfr",495,8.15360345243139
"4766","LKMG003-350.allele_mapping_data.txt","mtrA","Neisseria gonorrhoeae",3,18,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",906,13.3643500296475
"4767","LKMG003-350.allele_mapping_data.txt","macA","Neisseria gonorrhoeae",1,18,"macrolide antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1179,3.42326862506661
"4768","LKMG003-350.allele_mapping_data.txt","tet(M)","Erysipelothrix rhusiopathiae",54,18.88,"tetracycline antibiotic","antibiotic target protection","tetracycline-resistant ribosomal protection protein",1920,113.513448064318
"4769","LKMG003-350.allele_mapping_data.txt","APH(3'')-Ib","Pseudomonas aeruginosa",7,22,"aminoglycoside antibiotic","antibiotic inactivation","APH(3'')",804,35.1395969685009
"4770","LKMG003-350.allele_mapping_data.txt","mtrD","Neisseria meningitidis",18,15.22,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3204,22.6743466795143
"4771","LKMG003-350.allele_mapping_data.txt","MexB","Pseudomonas aeruginosa",5,11.2,"macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3141,6.42475916738863
"4772","LKMG003-350.allele_mapping_data.txt","tet(A)","Shigella sonnei",1,11,"tetracycline antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1275,3.16551663447336
"4773","LKMG003-350.allele_mapping_data.txt","tlrC","Streptomyces fradiae",1,11,"macrolide antibiotic; lincosamide antibiotic","antibiotic target protection","Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins",1647,2.45053655674167
"4774","LKMG003-350.allele_mapping_data.txt","patA","Streptococcus pneumoniae",116,20.26,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1695,276.212336423959
"4775","LKMG003-350.allele_mapping_data.txt","patB","Streptococcus pneumoniae",95,19.45,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1767,216.991059621158
"4776","LKMG003-350.allele_mapping_data.txt","pmrA","Streptococcus pneumoniae",55,20.41,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1200,184.984878327037
"4777","LKMG003-350.allele_mapping_data.txt","tet(35)","Vibrio harveyi",1,11,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1110,3.63606640446265
"4778","LKMG003-350.allele_mapping_data.txt","TriC","Pseudomonas aeruginosa",1,12,"disinfecting agents and antiseptics","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3048,1.32415804099525
"4779","LKMG003-350.allele_mapping_data.txt","OpmH","Pseudomonas aeruginosa",1,11,"disinfecting agents and antiseptics","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",1449,2.78539248374985
"4780","LKMG003-350.allele_mapping_data.txt","MexK","Pseudomonas aeruginosa",3,18,"macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3078,3.93375605161163
"4781","LKMG003-350.allele_mapping_data.txt","mexN","Pseudomonas aeruginosa",1,11,"phenicol antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3111,1.29734288298089
"4782","LKMG003-350.allele_mapping_data.txt","RlmA(II)","Streptococcus pneumoniae",31,17.13,"macrolide antibiotic; lincosamide antibiotic","antibiotic target alteration","non-erm 23S ribosomal RNA methyltransferase (G748)",849,147.369899855783
"4783","LKMG003-350.allele_mapping_data.txt","efrB","Enterococcus faecium",1,11,"macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1086,3.7164214631248
"4784","LKMG003-350.allele_mapping_data.txt","hmrM","Haemophilus influenzae",10,19.2,"fluoroquinolone antibiotic; disinfecting agents and antiseptics","antibiotic efflux","multidrug and toxic compound extrusion (MATE) transporter",1395,28.9321412828211
"4785","LKMG003-350.allele_mapping_data.txt","farB","Neisseria meningitidis",3,18.17,"antibacterial free fatty acids","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1527,7.92933931032129
"4786","LKMG003-350.allele_mapping_data.txt","Pseudomonas aeruginosa CpxR","Pseudomonas aeruginosa",1,11,"macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",678,5.95285207810256
"4787","LKMG003-350.allele_mapping_data.txt","tetB(60)","uncultured bacterium",5,11.8,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1740,11.5977980142343
"4788","LKMG003-350.allele_mapping_data.txt","tetA(46)","Streptococcus australis",20,19.8,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1725,46.7945937269975
"4789","LKMG003-350.allele_mapping_data.txt","tetB(46)","Streptococcus australis",20,20.21,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1737,46.4713150138577
"4790","LKMG003-350.allele_mapping_data.txt","tetA(60)","uncultured bacterium",3,20.67,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1740,6.95867880854058
"4791","LKMG003-350.allele_mapping_data.txt","tet(L)","Geobacillus stearothermophilus",2,20.75,"tetracycline antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1377,5.86206784161734
"4792","LKMG003-350.allele_mapping_data.txt","MexF","Pseudomonas aeruginosa",3,15.33,"fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3189,3.79683321632506
"4793","LKMG003-350.allele_mapping_data.txt","MuxB","Pseudomonas aeruginosa",2,11,"macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3132,2.57728844760762
"4794","LKMG003-350.allele_mapping_data.txt","rpoB2","Nocardia farcinica",15,11.43,"rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)",3489,17.3518216206085
"4795","LKMG003-350.allele_mapping_data.txt","LpsA","Haemophilus influenzae",2,15.75,"peptide antibiotic","reduced permeability to antibiotic","Intrinsic peptide antibiotic resistant Lps",771,10.4696075459236
"4796","LKMG003-350.allele_mapping_data.txt","Bifidobacterium bifidum ileS conferring resistance to mupirocin","Bifidobacterium bifidum",3,12,"mupirocin-like antibiotic","antibiotic target alteration","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)",3324,3.6426297012216
"4797","LKMG003-350.allele_mapping_data.txt","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","Bifidobacterium adolescentis",7,10.71,"rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)",3561,7.93379274436247
"4798","LKMG003-350.allele_mapping_data.txt","mef(E)","Streptococcus pneumoniae",1,11,"macrolide antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1212,3.33006081596826
"4799","LKMG003-351.allele_mapping_data.txt","srmB","Streptomyces ambofaciens",1,11,"macrolide antibiotic","antibiotic target protection","Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins",1653,2.44164168720722
"4800","LKMG003-351.allele_mapping_data.txt","macB","Neisseria gonorrhoeae",4,15,"macrolide antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1935,8.34322213737165
"4801","LKMG003-351.allele_mapping_data.txt","mel","Streptococcus pyogenes",74,19.2,"macrolide antibiotic; streptogramin antibiotic","antibiotic target protection","msr-type ABC-F protein",1218,245.210586586668
"4802","LKMG003-351.allele_mapping_data.txt","macA","Neisseria gonorrhoeae",3,15.5,"macrolide antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1179,10.2698058751998
"4803","LKMG003-351.allele_mapping_data.txt","lsaC","Streptococcus agalactiae",1,11,"lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic","antibiotic target protection","lsa-type ABC-F protein",1479,2.72889365040807
"4804","LKMG003-351.allele_mapping_data.txt","tet(M)","Erysipelothrix rhusiopathiae",11,21.05,"tetracycline antibiotic","antibiotic target protection","tetracycline-resistant ribosomal protection protein",1920,23.1231097908796
"4805","LKMG003-351.allele_mapping_data.txt","APH(3'')-Ib","Pseudomonas aeruginosa",1,22,"aminoglycoside antibiotic","antibiotic inactivation","APH(3'')",804,5.01994242407156
"4806","LKMG003-351.allele_mapping_data.txt","mtrD","Neisseria meningitidis",9,11.78,"macrolide antibiotic; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3204,11.3371733397571
"4807","LKMG003-351.allele_mapping_data.txt","smeB","Stenotrophomonas maltophilia",1,11,"aminoglycoside antibiotic; cephalosporin; cephamycin; penam","antibiotic efflux","resistance-nodulation-cell division (RND) antibiotic efflux pump",3150,1.28128054252493
"4808","LKMG003-351.allele_mapping_data.txt","patA","Streptococcus pneumoniae",154,19.77,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1695,366.695688011118
"4809","LKMG003-351.allele_mapping_data.txt","patB","Streptococcus pneumoniae",149,20.28,"fluoroquinolone antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1767,340.333346142658
"4810","LKMG003-351.allele_mapping_data.txt","pmrA","Streptococcus pneumoniae",59,19,"fluoroquinolone antibiotic","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1200,198.438324023549
"4811","LKMG003-351.allele_mapping_data.txt","RlmA(II)","Streptococcus pneumoniae",62,18.46,"macrolide antibiotic; lincosamide antibiotic","antibiotic target alteration","non-erm 23S ribosomal RNA methyltransferase (G748)",849,294.739799711566
"4812","LKMG003-351.allele_mapping_data.txt","efrA","Enterococcus faecalis",1,11,"macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1728,2.33566765564441
"4813","LKMG003-351.allele_mapping_data.txt","hmrM","Haemophilus influenzae",1,20.5,"fluoroquinolone antibiotic; disinfecting agents and antiseptics","antibiotic efflux","multidrug and toxic compound extrusion (MATE) transporter",1395,2.89321412828211
"4814","LKMG003-351.allele_mapping_data.txt","farB","Neisseria meningitidis",2,11,"antibacterial free fatty acids","antibiotic efflux","major facilitator superfamily (MFS) antibiotic efflux pump",1527,5.28622620688086
"4815","LKMG003-351.allele_mapping_data.txt","tetB(60)","uncultured bacterium",1,14,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1740,2.31955960284686
"4816","LKMG003-351.allele_mapping_data.txt","tetA(46)","Streptococcus australis",2,20.75,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1725,4.67945937269975
"4817","LKMG003-351.allele_mapping_data.txt","tetA(60)","uncultured bacterium",1,18,"tetracycline antibiotic","antibiotic efflux","ATP-binding cassette (ABC) antibiotic efflux pump",1740,2.31955960284686
